Origin Airport,Destination Region Normalized,Year,Route,AIR_BERLIN_GROUP_Departures,LUFTHANSA_GROUP_Departures,LowCostCarrier_GROUP_Departures,NEW_ENTRANT_Departures,legacy_group_Departures,regional_and_others_Departures,AIR_BERLIN_GROUP_Market_Share,LUFTHANSA_GROUP_Market_Share,LowCostCarrier_GROUP_Market_Share,NEW_ENTRANT_Market_Share,legacy_group_Market_Share,regional_and_others_Market_Share
HAM,EASTERN EUROPE,2018,HAM → EASTERN EUROPE,0.0,898.0,1152.0,0.0,2428.0,0.0,0.0,0.2005359535506923,0.2572577043322912,0.0,0.5422063421170166,0.0
HAM,EASTERN EUROPE,2019,HAM → EASTERN EUROPE,0.0,723.0,1122.0,0.0,2632.0,0.0,0.0,0.16149207058297968,0.25061425061425063,0.0,0.5878936788027697,0.0
HAM,GULF/MIDDLE EAST,2015,HAM → GULF/MIDDLE EAST,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
HAM,GULF/MIDDLE EAST,2016,HAM → GULF/MIDDLE EAST,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
HAM,GULF/MIDDLE EAST,2017,HAM → GULF/MIDDLE EAST,0.0,0.0,121.0,9.0,0.0,0.0,0.0,0.0,0.9307692307692308,0.06923076923076923,0.0,0.0
HAM,GULF/MIDDLE EAST,2018,HAM → GULF/MIDDLE EAST,0.0,0.0,122.0,30.0,0.0,0.0,0.0,0.0,0.8026315789473685,0.19736842105263158,0.0,0.0
HAM,GULF/MIDDLE EAST,2019,HAM → GULF/MIDDLE EAST,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
HAM,NORTH AFRICA,2015,HAM → NORTH AFRICA,0.0,3.0,109.0,0.0,0.0,0.0,0.0,0.026785714285714284,0.9732142857142857,0.0,0.0,0.0
HAM,NORTH AFRICA,2016,HAM → NORTH AFRICA,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
HAM,NORTH AFRICA,2017,HAM → NORTH AFRICA,0.0,26.0,13.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
HAM,NORTH AFRICA,2018,HAM → NORTH AFRICA,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
HAM,NORTH AFRICA,2019,HAM → NORTH AFRICA,0.0,0.0,251.0,22.0,0.0,0.0,0.0,0.0,0.9194139194139194,0.08058608058608059,0.0,0.0
HAM,WESTERN EUROPE,2015,HAM → WESTERN EUROPE,5318.0,18287.0,6251.0,0.0,4503.0,0.0,0.15477749643470415,0.5322331849006083,0.18193195378212404,0.0,0.13105736488256353,0.0
HAM,WESTERN EUROPE,2016,HAM → WESTERN EUROPE,4114.0,18617.0,6979.0,0.0,4194.0,0.0,0.12134261444077395,0.5491092496460594,0.20584591788579518,0.0,0.1237022180273714,0.0
HAM,WESTERN EUROPE,2017,HAM → WESTERN EUROPE,6521.0,14996.0,8793.0,0.0,4534.0,0.0,0.18714843301572723,0.4303753874411663,0.2523533463437034,0.0,0.13012283319940304,0.0
HAM,WESTERN EUROPE,2018,HAM → WESTERN EUROPE,637.0,19706.0,8055.0,0.0,4683.0,34.0,0.019235995772308622,0.5950777593235694,0.24324324324324326,0.0,0.14141627661180733,0.0010267250490714178
HAM,WESTERN EUROPE,2019,HAM → WESTERN EUROPE,128.0,20193.0,8143.0,225.0,4521.0,92.0,0.0038436129962164433,0.6063599783796769,0.24451984865773826,0.006756350969911717,0.1357576121554261,0.002762596841030569
MUC,EASTERN EUROPE,2015,MUC → EASTERN EUROPE,32.0,11962.0,837.0,0.0,4107.0,0.0,0.0018892431219742591,0.7062226945330027,0.049415515409139216,0.0,0.2424725469358838,0.0
MUC,EASTERN EUROPE,2016,MUC → EASTERN EUROPE,23.0,11995.0,858.0,0.0,4887.0,0.0,0.0012948263243821427,0.6752800765636435,0.048302651579125146,0.0,0.2751224455328492,0.0
MUC,EASTERN EUROPE,2017,MUC → EASTERN EUROPE,0.0,12521.0,556.0,60.0,4409.0,0.0,0.0,0.7136099395873703,0.031688134047646185,0.0034195828108970704,0.2512823435540864,0.0
MUC,EASTERN EUROPE,2018,MUC → EASTERN EUROPE,0.0,12647.0,1350.0,145.0,4264.0,0.0,0.0,0.6871128979680539,0.07334564815820928,0.007877865913289145,0.23166358796044767,0.0
MUC,EASTERN EUROPE,2019,MUC → EASTERN EUROPE,0.0,11663.0,720.0,208.0,6326.0,0.0,0.0,0.6165353914468468,0.038061003330337795,0.010995400962097585,0.3344082042607179,0.0
MUC,GULF/MIDDLE EAST,2015,MUC → GULF/MIDDLE EAST,70.0,504.0,66.0,0.0,0.0,0.0,0.109375,0.7875,0.103125,0.0,0.0,0.0
MUC,GULF/MIDDLE EAST,2016,MUC → GULF/MIDDLE EAST,0.0,417.0,163.0,0.0,0.0,0.0,0.0,0.7189655172413794,0.2810344827586207,0.0,0.0,0.0
MUC,GULF/MIDDLE EAST,2017,MUC → GULF/MIDDLE EAST,0.0,466.0,210.0,0.0,0.0,0.0,0.0,0.6893491124260355,0.3106508875739645,0.0,0.0,0.0
MUC,GULF/MIDDLE EAST,2018,MUC → GULF/MIDDLE EAST,0.0,425.0,100.0,0.0,0.0,0.0,0.0,0.8095238095238095,0.19047619047619047,0.0,0.0,0.0
MUC,GULF/MIDDLE EAST,2019,MUC → GULF/MIDDLE EAST,0.0,425.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MUC,NORTH AFRICA,2015,MUC → NORTH AFRICA,39.0,197.0,122.0,0.0,0.0,0.0,0.10893854748603352,0.5502793296089385,0.3407821229050279,0.0,0.0,0.0
MUC,NORTH AFRICA,2016,MUC → NORTH AFRICA,0.0,176.0,140.0,0.0,0.0,0.0,0.0,0.5569620253164557,0.4430379746835443,0.0,0.0,0.0
MUC,NORTH AFRICA,2017,MUC → NORTH AFRICA,11.0,366.0,138.0,9.0,0.0,0.0,0.02099236641221374,0.6984732824427481,0.2633587786259542,0.01717557251908397,0.0,0.0
MUC,NORTH AFRICA,2018,MUC → NORTH AFRICA,0.0,329.0,232.0,60.0,0.0,0.0,0.0,0.5297906602254429,0.37359098228663445,0.0966183574879227,0.0,0.0
MUC,NORTH AFRICA,2019,MUC → NORTH AFRICA,0.0,211.0,282.0,30.0,0.0,0.0,0.0,0.40344168260038243,0.5391969407265774,0.05736137667304015,0.0,0.0
MUC,WESTERN EUROPE,2015,MUC → WESTERN EUROPE,7474.0,54196.0,6408.0,428.0,9418.0,0.0,0.09591396745546943,0.6954981777116165,0.0822339715620348,0.005492531184230789,0.12086135208664853,0.0
MUC,WESTERN EUROPE,2016,MUC → WESTERN EUROPE,6106.0,54591.0,10937.0,449.0,9814.0,0.0,0.07455706558237786,0.6665811934503095,0.1335457953282782,0.005482496306336008,0.11983344933269839,0.0
MUC,WESTERN EUROPE,2017,MUC → WESTERN EUROPE,9111.0,55452.0,7755.0,500.0,9813.0,0.0,0.11026128208541588,0.6710798610690903,0.09385097602594668,0.006050997809538793,0.11875688301000835,0.0
MUC,WESTERN EUROPE,2018,MUC → WESTERN EUROPE,1165.0,63584.0,10012.0,526.0,10124.0,35.0,0.013634342157620017,0.7441424993563186,0.11717341946960654,0.006155934742410411,0.11848418884441636,0.0004096154296280692
MUC,WESTERN EUROPE,2019,MUC → WESTERN EUROPE,237.0,67922.0,8737.0,778.0,11018.0,91.0,0.002669429958437989,0.7650338465697262,0.09840847910072874,0.008762938850906142,0.12410033452350112,0.0010249709966998186
STR,EASTERN EUROPE,2015,STR → EASTERN EUROPE,33.0,2096.0,997.0,0.0,1561.0,0.0,0.007040751013441433,0.4471943673991893,0.21271602304245787,0.0,0.33304885854491145,0.0
