Origin Airport,Destination Region Normalized,Year,Airline_Group,Departures,Total_Market_Departures,Market_Share,Market_Share_Squared,Route
HAM,EASTERN EUROPE,2017,AIR_BERLIN_GROUP,98.0,4723.0,0.02074952360787635,0.00043054272995381794,HAM → EASTERN EUROPE
HAM,EASTERN EUROPE,2017,LUFTHANSA_GROUP,904.0,4723.0,0.19140376879102267,0.03663540270740726,HAM → EASTERN EUROPE
HAM,EASTERN EUROPE,2017,LowCostCarrier_GROUP,1140.0,4723.0,0.24137200931611263,0.05826044688129756,HAM → EASTERN EUROPE
HAM,EASTERN EUROPE,2017,legacy_group,2581.0,4723.0,0.5464746982849884,0.2986345958656691,HAM → EASTERN EUROPE
HAM,EASTERN EUROPE,2018,LUFTHANSA_GROUP,898.0,4478.0,0.2005359535506923,0.04021466866648542,HAM → EASTERN EUROPE
HAM,EASTERN EUROPE,2018,LowCostCarrier_GROUP,1152.0,4478.0,0.2572577043322912,0.06618152643832058,HAM → EASTERN EUROPE
HAM,EASTERN EUROPE,2018,legacy_group,2428.0,4478.0,0.5422063421170166,0.2939877174319152,HAM → EASTERN EUROPE
HAM,EASTERN EUROPE,2019,LUFTHANSA_GROUP,723.0,4477.0,0.16149207058297968,0.02607968886117809,HAM → EASTERN EUROPE
HAM,EASTERN EUROPE,2019,LowCostCarrier_GROUP,1122.0,4477.0,0.25061425061425063,0.06280750261094242,HAM → EASTERN EUROPE
HAM,EASTERN EUROPE,2019,legacy_group,2632.0,4477.0,0.5878936788027697,0.3456189775762541,HAM → EASTERN EUROPE
HAM,EASTERN EUROPE,2019,regional_and_others,0.0,4477.0,0.0,0.0,HAM → EASTERN EUROPE
HAM,GULF/MIDDLE EAST,2015,LowCostCarrier_GROUP,104.0,104.0,1.0,1.0,HAM → GULF/MIDDLE EAST
HAM,GULF/MIDDLE EAST,2016,LowCostCarrier_GROUP,113.0,113.0,1.0,1.0,HAM → GULF/MIDDLE EAST
HAM,GULF/MIDDLE EAST,2017,LowCostCarrier_GROUP,121.0,130.0,0.9307692307692308,0.8663313609467456,HAM → GULF/MIDDLE EAST
HAM,GULF/MIDDLE EAST,2017,NEW_ENTRANT,9.0,130.0,0.06923076923076923,0.004792899408284024,HAM → GULF/MIDDLE EAST
HAM,GULF/MIDDLE EAST,2018,LowCostCarrier_GROUP,122.0,152.0,0.8026315789473685,0.6442174515235458,HAM → GULF/MIDDLE EAST
HAM,GULF/MIDDLE EAST,2018,NEW_ENTRANT,30.0,152.0,0.19736842105263158,0.03895429362880887,HAM → GULF/MIDDLE EAST
HAM,GULF/MIDDLE EAST,2019,LowCostCarrier_GROUP,0.0,30.0,0.0,0.0,HAM → GULF/MIDDLE EAST
HAM,GULF/MIDDLE EAST,2019,NEW_ENTRANT,30.0,30.0,1.0,1.0,HAM → GULF/MIDDLE EAST
HAM,NORTH AFRICA,2015,LUFTHANSA_GROUP,3.0,112.0,0.026785714285714284,0.0007174744897959183,HAM → NORTH AFRICA
HAM,NORTH AFRICA,2015,LowCostCarrier_GROUP,109.0,112.0,0.9732142857142857,0.9471460459183673,HAM → NORTH AFRICA
HAM,NORTH AFRICA,2016,LowCostCarrier_GROUP,23.0,23.0,1.0,1.0,HAM → NORTH AFRICA
HAM,NORTH AFRICA,2017,LUFTHANSA_GROUP,26.0,39.0,0.6666666666666666,0.4444444444444444,HAM → NORTH AFRICA
HAM,NORTH AFRICA,2017,LowCostCarrier_GROUP,13.0,39.0,0.3333333333333333,0.1111111111111111,HAM → NORTH AFRICA
HAM,NORTH AFRICA,2018,LowCostCarrier_GROUP,162.0,162.0,1.0,1.0,HAM → NORTH AFRICA
HAM,NORTH AFRICA,2019,LUFTHANSA_GROUP,0.0,273.0,0.0,0.0,HAM → NORTH AFRICA
HAM,NORTH AFRICA,2019,LowCostCarrier_GROUP,251.0,273.0,0.9194139194139194,0.845321955212065,HAM → NORTH AFRICA
HAM,NORTH AFRICA,2019,NEW_ENTRANT,22.0,273.0,0.08058608058608059,0.006494116384226275,HAM → NORTH AFRICA
HAM,WESTERN EUROPE,2015,AIR_BERLIN_GROUP,5318.0,34359.0,0.15477749643470415,0.023956073402594855,HAM → WESTERN EUROPE
